Unnamed: 0,Symbol,Name,Company is Active,Company Founded Date,Country of Primary Listing Iso3,CUSIP,Date Of First Trade,Entity Country HQ,Entity Credit Parent,NACE,Exchange Name (FS),FE Ticker,ISIN,Primary Equity Listing,Proper Name,Public Company,Region Ticker,Sec is Primary Issue,Sec Type,SEDOL,NACE_letter,Report,NACE_lvl_3
1766,CL0002409135,Salmones Camanchaca SA,1,2009.0,CHL,P8325N103,20200622.0,CHL,0H9N5C-E,3.21,US OTC,@NA,CL0002409135,BFWK4K,Salmones Camanchaca SA,1.0,SLMCF-US,0,SHARE,BJP0F57,A,Salmones Camanchaca SA1.pdf,03.2
1772,MYL5029OO003,Far East Holdings Bhd.,1,1973.0,MYS,Y24404108,19910710.0,MYS,@NA,1.61,MALAYSIA,5029-MY,MYL5029OO003,633193,Far East Holdings Bhd.,1.0,5029-MY,1,SHARE,6331931,A,Far East Holdings Bhd.1.pdf,01.6
1775,NO0010724701,Icelandic Salmon AS,1,2009.0,NOR,R3852Z106,20191118.0,ISL,0H3LZ3-E,3.21,OSLO,ISLAX-NO,NO0010724701,BL0HL5,Icelandic Salmon AS,1.0,ISLAX-NO,1,SHARE,BL0HL59,A,Icelandic Salmon AS1.pdf,03.2
1776,NZSEKE0001S8,Seeka Limited,1,1980.0,NZL,Q8445W107,20031125.0,NZL,060XRQ-E,1.63,NEW ZEALAND,SEK-NZ,NZSEKE0001S8,671378,Seeka Limited,1.0,SEK-NZ,1,SHARE,6713788,A,Seeka Limited1.pdf,01.6
1777,BMG169621056,Bunge Limited,1,1818.0,USA,G16962105,20041015.0,USA,003B1C-E,1.63,FRANKFURT,@NA,BMG169621056,G1696210,Bunge Limited,1.0,BU3-DE,0,SHARE,B03BPC6,A,Bunge Limited1.pdf,01.6
1778,MYL5138OO002,Hap Seng Plantations Holdings Bhd.,1,2007.0,MYS,Y30686102,20071116.0,MYS,@NA,1.61,MALAYSIA,5138-MY,MYL5138OO002,B28VNR,Hap Seng Plantations Holdings Bhd.,1.0,5138-MY,1,SHARE,B28VNR6,A,Hap Seng Plantations Holdings Bhd.1.pdf,01.6
1780,SG1T56930848,Wilmar International Limited,1,1991.0,SGP,Y9586L109,20070720.0,SGP,06BM3M-E,1.61,FRANKFURT,@NA,SG1T56930848,B17KC6,Wilmar International Limited,1.0,RTHA-DE,0,SHARE,B23FGH4,A,Wilmar International Limited2.pdf,01.6
1789,ID1000167109,PT Teladan Prima Agro Tbk,1,2004.0,IDN,Y8T82W105,20220412.0,IDN,0DBV3V-E,1.61,INDONESIA,@NA,ID1000167109,BMFTCV,PT Teladan Prima Agro Tbk,1.0,TLDN-ID,1,SHARE,BMFTCV0,A,PT Teladan Prima Agro Tbk1.pdf,01.6
1790,NO0010886625,Aker BioMarine ASA,1,2013.0,NOR,R0R38R108,20200706.0,NOR,0MK870-E,3.21,OSLO,AKBM-NO,NO0010886625,BMGNX5,Aker BioMarine ASA,1.0,AKBM-NO,1,SHARE,BMGNX52,A,Aker BioMarine ASA1.pdf,03.2
1795,FDS0KI5L,Maskeliya Plantations Plc,1,1992.0,LKA,FDS0KI5L4,,LKA,05K47P-E,1.61,@NA,@NA,@NA,607353,Maskeliya Plantations Plc,1.0,@NA,0,SHARE,@NA,A,Maskeliya Plantations Plc3.pdf,01.6
1801,US69401A1079,PSH Group Holding Inc,0,2010.0,USA,69401A107,20110929.0,USA,@NA,1.61,US OTC,@NA,US69401A1079,69401A10,PSH Group Holding Inc,1.0,GLHD-US,0,SHARE,BN0Y411,A,PSH Group Holding Inc1.pdf,01.6
1804,MYL5027OO007,Kim Loong Resources Bhd.,1,1967.0,MYS,Y47929107,20001127.0,MYS,05W10J-E,1.61,MALAYSIA,5027-MY,MYL5027OO007,631114,Kim Loong Resources Bhd.,1.0,5027-MY,1,SHARE,6311148,A,Kim Loong Resources Bhd.1.pdf,01.6
1905,US0316521006,"Amkor Technology, Inc.",1,1968.0,USA,031652100,19980501.0,USA,001T0G-E,26.11,NASDAQ,AMKR-US,US0316521006,03165210,"Amkor Technology, Inc.",1.0,AMKR-US,1,SHARE,2242929,C,"Amkor Technology, Inc.1.pdf",26.1
1907,TW0003533006,"Lotes Co., Ltd",1,1986.0,TWN,Y53302116,20061114.0,TWN,06SKFG-E,26.11,TAIWAN,3533-TW,TW0003533006,B1GJFG,"Lotes Co., Ltd",1.0,3533-TW,1,SHARE,B1GJFG8,C,"Lotes Co., Ltd1.pdf",26.1
1908,US65343E1082,"NextCure, Inc.",1,2015.0,USA,65343E108,20190509.0,USA,0FZZVT-E,21.2,NASDAQ,NXTC-US,US65343E1082,65343E10,"NextCure, Inc.",1.0,NXTC-US,1,SHARE,BJL3CL5,C,"NextCure, Inc.1.pdf",21.2
1910,BE0003818359,Galapagos NV,1,1999.0,NLD,B44170106,20050509.0,BEL,0085DD-E,21.1,EURONEXT AMSTERDAM,GLPG-NL,BE0003818359,B07Q2V,Galapagos NV,1.0,GLPG-NL,1,SHARE,B07Q2V5,C,Galapagos NV1.pdf,21.1
1911,TW0006197007,"Jess-Link Products Co., Ltd.",1,1992.0,TWN,Y4439Y101,20021211.0,TWN,061K5X-E,26.11,TAIWAN,6197-TW,TW0006197007,656479,"Jess-Link Products Co., Ltd.",1.0,6197-TW,1,SHARE,6564793,C,"Jess-Link Products Co., Ltd.1.pdf",26.1
1916,US07373V1052,"Beam Therapeutics, Inc.",1,2017.0,USA,07373V105,20200206.0,USA,0JJSH9-E,21.1,NASDAQ,BEAM-US,US07373V1052,07373V10,"Beam Therapeutics, Inc.",1.0,BEAM-US,1,SHARE,BK6L288,C,"Beam Therapeutics, Inc.1.pdf",21.1
1926,CA21872J3073,"Core One Labs, Inc.",1,2010.0,CAN,21872J307,20111114.0,CAN,00D38R-E,21.2,CNQ,@NA,CA21872J3073,BNW000,"Core One Labs, Inc.",1.0,COOL-CA,1,SHARE,BNW0008,C,"Core One Labs, Inc.3.pdf",21.2
1936,US0043971052,Accuray Incorporated,1,1990.0,USA,004397105,20070208.0,USA,060ZXV-E,26.6,NASDAQ,ARAY-US,US0043971052,00439710,Accuray Incorporated,1.0,ARAY-US,1,SHARE,B1R2HW6,C,Accuray Incorporated1.pdf,26.6
1941,US92532F1003,Vertex Pharmaceuticals Incorporated,1,1989.0,USA,92532F100,19910724.0,USA,000YJB-E,21.2,NASDAQ,VRTX-US,US92532F1003,92532F10,Vertex Pharmaceuticals Incorporated,1.0,VRTX-US,1,SHARE,2931034,C,Vertex Pharmaceuticals Incorporated2.pdf,21.2
1943,KYG8167W1380,Sino Biopharmaceutical Limited,1,2000.0,HKG,G8167W138,20000929.0,HKG,05L60N-E,21.2,HONG KONG,1177-HK,KYG8167W1380,B00XSF,Sino Biopharmaceutical Limited,1.0,1177-HK,1,SHARE,B00XSF9,C,Sino Biopharmaceutical Limited1.pdf,21.2
1950,US75082Q1058,Rain Oncology Inc.,1,2017.0,USA,75082Q105,20210423.0,USA,0HRJ1H-E,21.1,NASDAQ,RAIN-US,US75082Q1058,75082Q10,Rain Oncology Inc.,1.0,RAIN-US,1,SHARE,BN2RM92,C,Rain Oncology Inc.3.pdf,21.1
1953,KYG677291067,Jacobson Pharma Corporation Limited,1,2016.0,HKG,G67729106,20160921.0,HKG,0G62LQ-E,21.2,HONG KONG,2633-HK,KYG677291067,BYZTBB,Jacobson Pharma Corporation Limited,1.0,2633-HK,1,SHARE,BYZTBB7,C,Jacobson Pharma Corporation Limited1.pdf,21.2
1954,KYG211081248,China Medical System Holdings Ltd.,1,1995.0,HKG,G21108124,20100928.0,CHN,06T6PN-E,21.2,HONG KONG,867-HK,KYG211081248,B6WY99,China Medical System Holdings Ltd.,1.0,867-HK,1,SHARE,B6WY993,C,China Medical System Holdings Ltd.1.pdf,21.2
1964,US6273352012,MusclePharm Corporation,1,2006.0,USA,627335201,20081202.0,USA,09MF15-E,21.1,US OTC,MSLPQ-US,US6273352012,62733520,MusclePharm Corporation,1.0,MSLPQ-US,1,SHARE,B8H56K5,C,MusclePharm Corporation1.pdf,21.1
1966,TW0004186002,"Taiwan Advance Bio-Pharmaceutical, Inc.",1,2000.0,TWN,Y8T6F2101,20121127.0,TWN,0CB5HZ-E,21.2,TAIPEI,@NA,TW0004186002,B92DZG,"Taiwan Advance Bio-Pharmaceutical, Inc.",1.0,4186-TW,1,SHARE,B92DZG0,C,"Taiwan Advance Bio-Pharmaceutical, Inc.3.pdf",21.2
